"STATISTIC","Statistic Label","TLIST(A1)","CensusYear","C02199V02655","Sex","C02076V03371","Single Year of Age","C03789V04537","Administrative Counties","UNIT","VALUE"
"FY006AC01","Population","2022","2022","2","Female","089","89 years","2ae19629-1499-13a3-e055-000000000001","Tipperary County Council","Number","191"
"FY006AC01","Population","2022","2022","2","Female","089","89 years","2ae19629-149a-13a3-e055-000000000001","Waterford City & County Council","Number","149"
"FY006AC01","Population","2022","2022","2","Female","089","89 years","2ae19629-1435-13a3-e055-000000000001","Galway City Council","Number","54"
"FY006AC01","Population","2022","2022","2","Female","089","89 years","2ae19629-14a5-13a3-e055-000000000001","Galway County Council","Number","223"
"FY006AC01","Population","2022","2022","2","Female","089","89 years","2ae19629-148e-13a3-e055-000000000001","Leitrim County Council","Number","39"
"FY006AC01","Population","2022","2022","2","Female","089","89 years","2ae19629-1493-13a3-e055-000000000001","Mayo  County Council","Number","157"
"FY006AC01","Population","2022","2022","2","Female","089","89 years","2ae19629-1497-13a3-e055-000000000001","Roscommon County Council","Number","100"
"FY006AC01","Population","2022","2022","2","Female","089","89 years","2ae19629-1498-13a3-e055-000000000001","Sligo County Council","Number","87"
"FY006AC01","Population","2022","2022","2","Female","089","89 years","2ae19629-149d-13a3-e055-000000000001","Cavan County Council","Number","79"
"FY006AC01","Population","2022","2022","2","Female","089","89 years","2ae19629-14a4-13a3-e055-000000000001","Donegal County Council","Number","172"
"FY006AC01","Population","2022","2022","2","Female","089","89 years","2ae19629-1495-13a3-e055-000000000001","Monaghan County Council","Number","73"
"FY006AC01","Population","2022","2022","2","Female","090","90 years","IE0","Ireland","Number","4285"
"FY006AC01","Population","2022","2022","2","Female","090","90 years","2ae19629-1492-13a3-e055-000000000001","Carlow County Council","Number","48"
"FY006AC01","Population","2022","2022","2","Female","090","90 years","2ae19629-1433-13a3-e055-000000000001","Dublin City Council","Number","614"
"FY006AC01","Population","2022","2022","2","Female","090","90 years","2ae19629-149f-13a3-e055-000000000001","Dún Laoghaire Rathdown County Council","Number","312"
"FY006AC01","Population","2022","2022","2","Female","090","90 years","2ae19629-14a0-13a3-e055-000000000001","Fingal County Council","Number","171"
"FY006AC01","Population","2022","2022","2","Female","090","90 years","2ae19629-14a1-13a3-e055-000000000001","South Dublin County Council","Number","168"
